,Year,Name,Tm,Team,Position,VetStatus,Salary,SalaryPerc,Rk,Code,Age,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
106,2009,CarlosRuiz,PHI,philadelphia-phillies,C,Pre-Arb,475000,0.46,1092,ruizca01,30,NL,107,379,322,32,82,26,1,9,43,3,2,47,39,0.255,0.355,0.425,0.78,105,137,8,4,4,2,8
107,2009,CarlosTorres,CHW,chicago-white-sox,RP,Pre-Arb,400000,0.44,1239,torreca01,26,AL,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0
108,2009,CarlosVillanueva,MIL,milwaukee-brewers,RP,Pre-Arb,447000,0.73,1275,villaca01,25,NL,61,13,11,0,1,0,0,0,0,0,0,1,7,0.091,0.167,0.091,0.258,-29,1,0,0,1,0,0
109,2009,CarlosZambrano,CHC,chicago-cubs,SP,Vet,18750000,16.07,1356,zambrca01,28,NL,33,72,69,7,15,5,0,4,11,0,0,1,28,0.217,0.225,0.464,0.689,71,32,0,0,1,1,0
110,2009,CaseyBlake,LAD,los-angeles-dodgers,3B,Vet,5000000,4.97,128,blakeca01,35,NL,139,565,485,84,136,25,6,18,79,3,4,63,116,0.28,0.363,0.468,0.832,123,227,12,6,1,10,8
111,2009,CaseyJanssen,TOR,toronto-blue-jays,RP,Pre-Arb,413900,0.59,631,janssca01,27,AL,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,1,0,0
112,2009,CaseyMcGehee,MIL,milwaukee-brewers,3B,Pre-Arb,400000,0.65,812,mcgehca01,26,NL,116,394,355,58,107,20,1,16,66,0,2,34,67,0.301,0.36,0.499,0.859,126,177,13,1,0,4,2
113,2009,CCSabathia,NYY,new-york-yankees,SP,Vet,15285714,6.95,1101,sabatc.01,28,AL,2,4,4,1,1,0,0,0,1,0,0,0,1,0.25,0.25,0.25,0.5,30,1,0,0,0,0,0
114,2009,CesarIzturis,BAL,baltimore-orioles,SS,Vet,2400000,4.26,623,izturce01,29,AL,114,412,387,34,99,14,4,2,30,12,4,18,38,0.256,0.294,0.328,0.622,63,127,11,3,4,0,0
115,2009,ChadBillingsley,LAD,los-angeles-dodgers,SP,Pre-Arb,475000,0.47,125,billich01,24,NL,30,67,56,2,10,2,0,1,4,0,0,4,24,0.179,0.233,0.268,0.501,35,15,1,0,7,0,0
116,2009,ChadQualls,ARI,arizona-diamondbacks,RP,Vet,2535000,3.64,1005,quallch01,30,NL,48,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
117,2009,ChadTracy,ARI,arizona-diamondbacks,1B,Vet,5083333,7.31,1242,tracych01,29,NL,98,288,257,29,61,15,0,8,39,1,0,26,38,0.237,0.306,0.389,0.695,79,100,3,1,0,4,7
118,2009,CharlieMorton,PIT,pittsburgh-pirates,SP,Pre-Arb,405000,0.68,870,mortoch02,25,NL,18,33,31,1,4,0,0,0,1,0,0,0,15,0.129,0.129,0.129,0.258,-31,4,0,0,2,0,0
119,2009,ChaseHeadley,SDP,san-diego-padres,3B,Pre-Arb,411500,1.3,555,headlch01,25,NL,156,612,543,62,142,31,2,12,64,10,2,62,133,0.262,0.342,0.392,0.734,102,213,19,5,0,2,3
120,2009,ChaseUtley,PHI,philadelphia-phillies,2B,Vet,11385714,11.1,1253,utleych01,30,NL,156,687,571,112,161,28,4,31,93,23,0,88,110,0.282,0.397,0.508,0.905,137,290,5,24,0,4,3
121,2009,ChienMingWang,NYY,new-york-yankees,RP,Arb 2,5000000,2.27,1295,wangch01,29,AL,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,1,0,1,0,0
122,2009,ChoneFiggins,LAA,los-angeles-angels,3B,Vet,5775000,5.56,385,figgich01,31,AL,158,729,615,114,183,30,7,5,54,42,17,101,114,0.298,0.395,0.393,0.789,110,242,8,1,8,4,0
123,2009,ChrisCarpenter,STL,st.-louis-cardinals,SP,Vet,14000000,20.04,223,carpech01,34,NL,26,69,63,3,11,3,0,1,7,0,0,2,13,0.175,0.212,0.27,0.482,28,17,1,1,3,0,0
